date,sales
2018-01-01,30
2018-01-02,41
2018-01-03,31
2018-01-04,32
2018-01-05,30
2018-01-06,31
2018-01-07,24
2018-01-08,28
2018-01-09,31
2018-01-10,43
2018-01-11,26
2018-01-12,34
2018-01-13,24
2018-01-14,35
2018-01-15,28
2018-01-16,32
2018-01-17,27
2018-01-18,37
2018-01-19,42
2018-01-20,31
2018-01-21,31
2018-01-22,28
2018-01-23,29
2018-01-24,39
2018-01-25,37
2018-01-26,23
2018-01-27,24
2018-01-28,27
2018-01-29,29
2018-01-30,27
2018-01-31,34
2018-02-01,29
2018-02-02,30
2018-02-03,28
2018-02-04,24
2018-02-05,26
2018-02-06,27
2018-02-07,32
2018-02-08,29
2018-02-09,26
2018-02-10,40
2018-02-11,31
2018-02-12,38
2018-02-13,38
2018-02-14,17
2018-02-15,35
2018-02-16,30
2018-02-17,22
2018-02-18,25
2018-02-19,42
2018-02-20,34
2018-02-21,32
2018-02-22,35
2018-02-23,31
2018-02-24,26
2018-02-25,34
2018-02-26,46
2018-02-27,26
2018-02-28,33
2018-03-01,29
2018-03-02,37
2018-03-03,34
2018-03-04,33
2018-03-05,29
2018-03-06,32
2018-03-07,35
2018-03-08,27
2018-03-09,25
2018-03-10,43
2018-03-11,25
2018-03-12,37
2018-03-13,34
2018-03-14,31
2018-03-15,29
2018-03-16,29
2018-03-17,24
2018-03-18,28
2018-03-19,27
2018-03-20,28
2018-03-21,36
2018-03-22,27
2018-03-23,33
2018-03-24,26
2018-03-25,34
2018-03-26,21
2018-03-27,37
2018-03-28,31
2018-03-29,36
2018-03-30,28
2018-03-31,34
2018-04-01,29
2018-04-02,32
2018-04-03,35
2018-04-04,39
2018-04-05,24
2018-04-06,32
2018-04-07,41
2018-04-08,27
2018-04-09,30
2018-04-10,43
2018-04-11,30
2018-04-12,22
2018-04-13,25
2018-04-14,31
2018-04-15,38
2018-04-16,34
2018-04-17,27
2018-04-18,26
2018-04-19,28
2018-04-20,27
2018-04-21,22
2018-04-22,29
2018-04-23,30
2018-04-24,37
2018-04-25,32
2018-04-26,27
2018-04-27,31
2018-04-28,33
2018-04-29,34
2018-04-30,29
2018-05-01,23
2018-05-02,28
2018-05-03,27
2018-05-04,37
2018-05-05,21
2018-05-06,29
2018-05-07,23
2018-05-08,27
2018-05-09,25
2018-05-10,33
2018-05-11,27
2018-05-12,34
2018-05-13,40
2018-05-14,32
2018-05-15,34
2018-05-16,34
2018-05-17,44
2018-05-18,36
2018-05-19,34
2018-05-20,39
2018-05-21,33
2018-05-22,29
2018-05-23,26
2018-05-24,23
2018-05-25,33
2018-05-26,32
2018-05-27,40
2018-05-28,33
2018-05-29,32
2018-05-30,33
2018-05-31,35
2018-06-01,27
2018-06-02,30
2018-06-03,31
2018-06-04,23
2018-06-05,34
2018-06-06,28
2018-06-07,23
2018-06-08,35
2018-06-09,41
2018-06-10,37
2018-06-11,33
2018-06-12,30
2018-06-13,27
2018-06-14,24
2018-06-15,24
2018-06-16,37
2018-06-17,24
2018-06-18,24
2018-06-19,35
2018-06-20,21
2018-06-21,22
2018-06-22,30
2018-06-23,35
2018-06-24,28
2018-06-25,27
2018-06-26,31
2018-06-27,31
2018-06-28,30
2018-06-29,30
2018-06-30,30
2018-07-01,34
2018-07-02,32
2018-07-03,34
2018-07-04,34
2018-07-05,32
2018-07-06,23
2018-07-07,28
2018-07-08,30
2018-07-09,32
2018-07-10,28
2018-07-11,26
2018-07-12,27
2018-07-13,28
2018-07-14,30
2018-07-15,26
2018-07-16,31
2018-07-17,38
2018-07-18,35
2018-07-19,34
2018-07-20,34
2018-07-21,32
2018-07-22,33
2018-07-23,36
2018-07-24,27
2018-07-25,27
2018-07-26,25
2018-07-27,26
2018-07-28,25
2018-07-29,28
2018-07-30,31
2018-07-31,26
2018-08-01,30
2018-08-02,27
2018-08-03,29
2018-08-04,28
2018-08-05,37
2018-08-06,37
2018-08-07,30
2018-08-08,34
2018-08-09,22
2018-08-10,32
2018-08-11,29
2018-08-12,24
2018-08-13,27
2018-08-14,32
2018-08-15,36
2018-08-16,21
2018-08-17,26
2018-08-18,29
2018-08-19,35
2018-08-20,27
2018-08-21,33
2018-08-22,22
2018-08-23,26
2018-08-24,24
2018-08-25,25
2018-08-26,32
2018-08-27,41
2018-08-28,24
2018-08-29,26
2018-08-30,31
2018-08-31,29
2018-09-01,32
2018-09-02,33
2018-09-03,32
2018-09-04,42
2018-09-05,29
2018-09-06,29
2018-09-07,36
2018-09-08,27
2018-09-09,35
2018-09-10,32
2018-09-11,33
2018-09-12,36
2018-09-13,30
2018-09-14,32
2018-09-15,39
